Ticker,Bucket #,Bucket Start Time,Bucket Start Time Formatted,Bucket Price,Bucket Size,Number Trades,Total Volume,Buy Volume,Sell Volume,StDev,VPIN Roll Forward50
ESM10,0,9000,2010-05-04 02:30:00,168758.25,31106,10726,31106,16216,14890,1409047.342936601,
ESM10,1,12600,2010-05-04 03:30:00,425473.75,31106,11371,31106,16403,14703,1409047.342936601,
ESM10,2,14820,2010-05-04 04:07:00,1082254.5,31106,11955,31106,16719,14387,1409047.342936601,
ESM10,3,17040,2010-05-04 04:44:00,193097.25,31106,9990,31106,16368,14738,1409047.342936601,
ESM10,4,21240,2010-05-04 05:54:00,-134951.75,31106,8826,31106,15963,15143,1409047.342936601,
ESM10,5,24060,2010-05-04 06:41:00,330523.75,31106,8585,31106,16237,14869,1409047.342936601,
ESM10,6,24540,2010-05-04 06:49:00,-44275.5,31106,6469,31106,16775,14331,1409047.342936601,
ESM10,7,25860,2010-05-04 07:11:00,-110234.25,31106,7601,31106,15524,15582,1409047.342936601,
ESM10,8,27360,2010-05-04 07:36:00,323848.25,31106,7567,31106,16373,14733,1409047.342936601,
ESM10,9,28500,2010-05-04 07:55:00,1372723.5,31106,7874,31106,18317,12789,1409047.342936601,
ESM10,10,28980,2010-05-04 08:03:00,348083.5,31106,7534,31106,16066,15040,1409047.342936601,
ESM10,11,29640,2010-05-04 08:14:00,180678.5,31106,5712,31106,16782,14324,1409047.342936601,
ESM10,12,30420,2010-05-04 08:27:00,-16768.0,31106,6792,31106,15288,15818,1409047.342936601,
ESM10,13,30600,2010-05-04 08:30:00,5595831.0,31106,7267,31106,27153,3953,1409047.342936601,
ESM10,14,30720,2010-05-04 08:32:00,2716851.25,31106,11619,31106,11148,19958,1409047.342936601,
ESM10,15,30840,2010-05-04 08:34:00,-750554.25,31106,9299,31106,14633,16473,1409047.342936601,
ESM10,16,30960,2010-05-04 08:36:00,373435.25,31106,9179,31106,16585,14521,1409047.342936601,
ESM10,17,31020,2010-05-04 08:37:00,1687064.75,31106,8041,31106,23294,7812,1409047.342936601,
ESM10,18,31080,2010-05-04 08:38:00,1736083.0,31106,9517,31106,21957,9149,1409047.342936601,
ESM10,19,31200,2010-05-04 08:40:00,-592556.75,31106,12378,31106,12426,18680,1409047.342936601,
ESM10,20,31320,2010-05-04 08:42:00,-1110023.25,31106,10102,31106,12602,18504,1409047.342936601,
ESM10,21,31440,2010-05-04 08:44:00,645444.25,31106,8472,31106,20372,10734,1409047.342936601,
ESM10,22,31560,2010-05-04 08:46:00,641914.75,31106,9346,31106,12011,19095,1409047.342936601,
ESM10,23,31740,2010-05-04 08:49:00,-322508.5,31106,8822,31106,14675,16431,1409047.342936601,
ESM10,24,31920,2010-05-04 08:52:00,179377.25,31106,8000,31106,15728,15378,1409047.342936601,
ESM10,25,32160,2010-05-04 08:56:00,-324315.0,31106,7808,31106,15680,15426,1409047.342936601,
ESM10,26,32340,2010-05-04 08:59:00,201835.0,31106,6771,31106,18054,13052,1409047.342936601,
